代码,名称,最新价,市盈率,市净率,总市值,涨跌幅,格雷厄姆评分,巴菲特评分,林奇评分,综合评分,投资建议
300528,幸福蓝海,17.54,23.17,10.84,6535545267.0,19.73,27,27,61,37.2,不推荐
603528,多伦科技,9.85,599.6,3.62,6953411790.0,10.06,15,47,58,40.7,不推荐
002942,新农股份,21.18,19.78,2.84,3301070957.0,10.03,35,46,61,47.2,不推荐
002298,中电鑫龙,8.34,36.55,2.99,6172524914.0,10.03,25,42,67,44.4,不推荐
001226,拓山重工,47.29,108.85,4.9,3530988243.0,10.0,15,42,44,34.5,不推荐
003023,彩虹集团,30.15,25.48,2.07,3176049240.0,10.0,27,46,56,43.3,不推荐
002775,文科股份,4.97,228.85,26.5,3020445296.0,9.96,15,27,36,26.1,不推荐
605299,舒华体育,10.0,131.55,3.39,4092265230.0,8.11,15,42,47,35.4,不推荐
002261,拓维信息,35.0,168.65,17.38,44085223490.0,8.02,15,32,40,29.3,不推荐
603976,正川股份,23.2,80.35,2.99,3507888766.0,7.56,15,42,50,36.3,不推荐
001368,通达创智,27.94,28.24,2.32,3180604215.0,7.3,27,46,56,43.3,不推荐
603116,红蜻蜓,7.46,264.49,1.61,4298457968.0,7.18,20,42,52,38.4,不推荐
600835,上海机电,28.25,35.49,2.11,28892385451.0,7.17,27,47,60,44.9,不推荐
300781,因赛集团,47.98,148.84,12.16,7861762420.0,6.74,15,27,42,27.9,不推荐
300421,力星股份,17.0,72.95,4.04,4998518228.0,6.25,15,42,44,34.5,不推荐
600895,张江高科,32.49,42.72,3.76,50316923480.0,6.25,15,52,52,40.9,不推荐
000888,峨眉山Ａ,15.15,33.88,3.13,7982733495.0,6.24,20,42,59,40.5,不推荐
688629,华丰科技,58.0,210.13,17.91,26737584198.0,5.55,15,37,40,31.3,不推荐
600731,湖南海利,8.94,22.06,1.61,4995157199.0,5.42,44,46,58,49.0,不推荐
002195,岩山科技,6.19,278.08,3.56,35100733568.0,5.27,15,52,51,40.6,不推荐
688630,芯碁微装,100.3,63.69,6.4,13213593815.0,5.03,15,44,48,36.5,不推荐
600276,恒瑞医药,59.22,52.43,8.6,393054976538.0,5.0,15,47,38,34.7,不推荐
002826,易明医药,24.14,61.23,6.2,4602960885.0,5.0,15,40,41,32.8,不推荐
605259,绿田机械,27.34,20.53,2.86,4715603200.0,4.87,32,42,51,41.7,不推荐
301511,德福科技,28.98,250.9,4.55,18266731560.0,4.7,15,48,45,37.2,不推荐
002938,鹏鼎控股,46.85,55.62,3.57,108600690100.0,4.65,15,53,45,39.2,不推荐
688383,新益昌,63.33,138.25,4.72,6468120888.0,4.52,15,38,45,33.2,不推荐
600486,扬农化工,71.2,16.59,2.7,28864400541.0,4.48,35,47,55,45.8,不推荐
603193,润本股份,35.7,81.7,7.11,14443981310.0,4.36,15,36,40,30.9,不推荐
603579,荣泰健康,31.0,31.29,2.79,5499333691.0,4.13,25,38,57,39.8,不推荐
603280,南方路机,38.99,98.25,3.27,4226775946.0,4.06,15,38,42,32.3,不推荐
603725,天安新材,9.8,49.23,4.01,2987605264.0,4.03,15,38,42,32.3,不推荐
601595,上海电影,34.4,59.05,9.05,15418080000.0,4.02,15,32,40,29.3,不推荐
002989,中天精装,35.39,468.86,4.63,7124862518.0,4.0,15,38,45,33.2,不推荐
688718,唯赛勃,15.18,128.64,3.39,2637591625.0,3.83,15,38,42,32.3,不推荐
300987,川网传媒,20.8,344.11,4.58,3606054400.0,3.69,15,38,39,31.4,不推荐
600379,宝光股份,14.22,62.62,6.22,4695466240.0,3.57,15,35,37,29.6,不推荐
600661,昂立教育,11.91,64.05,49.17,3412796565.0,3.39,15,23,31,23.0,不推荐
603639,海利尔,14.8,11.99,1.5,5030495373.0,3.35,59,47,56,53.3,不推荐
603338,浙江鼎力,55.05,13.26,2.64,27874450739.0,3.32,40,49,52,47.2,不推荐
002126,银轮股份,30.85,30.32,4.08,25753493126.0,3.32,20,43,49,37.9,不推荐
002406,远东传动,8.11,52.14,1.5,5922125415.0,3.31,23,38,56,38.9,不推荐
603992,松霖科技,27.98,66.62,3.82,12112410018.0,3.25,15,48,48,38.1,不推荐
688193,仁度生物,58.5,479.98,2.57,2344087395.0,3.19,15,38,49,34.4,不推荐
300476,胜宏科技,160.47,37.59,14.31,138435646221.0,3.18,20,43,37,34.3,不推荐
002242,九阳股份,10.5,19.84,2.33,8053678500.0,3.14,37,42,57,45.0,不推荐
002281,光迅科技,49.3,66.21,4.21,39777791374.0,3.14,15,48,43,36.6,不推荐
000034,神州数码,41.0,33.55,2.78,29161687675.0,3.12,25,43,55,41.2,不推荐
002564,天沃科技,7.15,83.47,39.08,6141167011.0,3.03,15,28,37,26.8,不推荐
688677,海泰新光,44.5,28.56,4.19,5334526500.0,3.01,20,38,51,36.5,不推荐
002278,神开股份,9.41,46.38,3.04,3424389788.0,2.95,15,38,45,33.2,不推荐
000558,天府文旅,5.34,61.93,6.31,6884455888.0,2.89,15,35,43,31.4,不推荐
603665,康隆达,25.1,8.86,5.56,4043887531.0,2.87,35,43,37,38.8,不推荐
002364,中恒电气,16.51,114.64,3.89,9304457490.0,2.87,15,38,48,34.1,不推荐
